Client,Description,Date,Numero-de-classement
CIC,ASSISTANCE JURIDIQUE ET FISCALE,2009-2019,1378
FACEBOOK,ASSISTANCE JURIDIQUE ET FISCALE,2019,1379
FACEBOOK,ASSISTANCE JURIDIQUE ET FISCALE,2019,1380
FAR,ASSISTANCE JURIDIQUE ET FISCALE,2019,1381
FRAPORT,ASSISTANCE JURIDIQUE ET FISCALE,2019,1382
KALPA TARU,ASSISTANCE JURIDIQUE ET FISCALE,2019,1383
KINAYA LAB SASU,ASSISTANCE JURIDIQUE ET FISCALE,2019,1384
KANSALA RESOURCE SA,ASSISTANCE JURIDIQUE ET FISCALE,,1385
MAN ENERGY,ASSISTANCE JURIDIQUE ET FISCALE,2019,1386
MAERSK,ASSISTANCE JURIDIQUE ET FISCALE,2017,1387
MERIDIAM,ASSISTANCE JURIDIQUE ET FISCALE,2019,1388
PATHE,ASSISTANCE JURIDIQUE ET FISCALE,2019,1389
PETRO SERVICES,ASSISTANCE JURIDIQUE ET FISCALE,2019,1390
SETEC,ASSISTANCE JURIDIQUE ET FISCALE,2019,1391
SMT,ASSISTANCE JURIDIQUE ET FISCALE,2019,1392
CIC,ASSISTANCE JURIDIQUE ET FISCALE,2009-2019,1393
MERIDIAM,ASSISTANCE JURIDIQUE ET FISCALE,2019,1394
PETRONAS,ASSISTANCE JURIDIQUE ET FISCALE,2015-2019,1395
SAHE,ASSISTANCE JURIDIQUE ET FISCALE,2019,1396
SAM  2V SAS,ASSISTANCE JURIDIQUE ET FISCALE,2019,1397
SCL,ASSISTANCE JURIDIQUE ET FISCALE,2019,1398
SENCA,ASSISTANCE JURIDIQUE ET FISCALE,2019,1399
SENDISO,ASSISTANCE JURIDIQUE ET FISCALE,2019,1666
SENEGAL TOURS,ASSISTANCE JURIDIQUE ET FISCALE,2019,1667
SETEC,ASSISTANCE JURIDIQUE ET FISCALE,2019,1668
SGBS,ASSISTANCE JURIDIQUE ET FISCALE,2019,1669
SGS,ASSISTANCE JURIDIQUE ET FISCALE,2019,1670
SIA,ASSISTANCE JURIDIQUE ET FISCALE,2019,1671
SOCOPAO,ASSISTANCE JURIDIQUE ET FISCALE,2019,1672
SOPELA,ASSISTANCE JURIDIQUE ET FISCALE,2019,1673
TAJ-TOTAL,ASSISTANCE JURIDIQUE ET FISCALE,2018-2019,1674
TECH MAHINDRA,ASSISTANCE JURIDIQUE ET FISCALE,2019,1675
TECHNIP,ASSISTANCE JURIDIQUE ET FISCALE,2019,1676
TECHNOSUD,ASSISTANCE JURIDIQUE ET FISCALE,2019,1677
THALES,ASSISTANCE JURIDIQUE ET FISCALE,2019,1678
THERMAX,ASSISTANCE JURIDIQUE ET FISCALE,2019,1679
TOTAL,ASSISTANCE JURIDIQUE ET FISCALE,2019,1680
TOTAL,ASSISTANCE JURIDIQUE ET FISCALE,2019,1681
TOTAL BURKINA,ASSISTANCE JURIDIQUE ET FISCALE,2019,1682
TOP EXPERTISE ET CONTROLE BTP,ASSISTANCE JURIDIQUE ET FISCALE,2017-2019,1683
TPD,ASSISTANCE JURIDIQUE ET FISCALE,2019,1684
TVS,ASSISTANCE JURIDIQUE ET FISCALE,2019,1685
VAN HESSEN,ASSISTANCE JURIDIQUE ET FISCALE,2019,1686
WOODSIDE,ASSISTANCE JURIDIQUE ET FISCALE,2019,1687
YAPI MERKEZI,ASSISTANCE JURIDIQUE ET FISCALE,2019,1688
YUP,ASSISTANCE JURIDIQUE ET FISCALE,2019,1689
AP. MOELLER CAPITAL P/5,ASSISTANCE JURIDIQUE ET FISCALE,2020,1691
CAPRICORN,ASSISTANCE JURIDIQUE ET FISCALE,2020,1692
SALAMA FIKIRA (HENMAN JAMES MICHAEL EDWARD),ASSISTANCE JURIDIQUE ET FISCALE,2020,1693
SCTSN,ASSISTANCE JURIDIQUE ET FISCALE,2020,1694
SEA INVEST SENEGAL,ASSISTANCE JURIDIQUE ET FISCALE,2020,1695
SETEC,ASSISTANCE JURIDIQUE ET FISCALE,2020,1696
SPIE,ASSISTANCE JURIDIQUE ET FISCALE,2020,1697
CORIS BANK,ASSISTANCE JURIDIQUE ET FISCALE,2020,1698
SUBSEA,ASSISTANCE JURIDIQUE ET FISCALE,2020,1699
SYSTRA,ASSISTANCE JURIDIQUE ET FISCALE,2020,1700
ACT,ASSISTANCE JURIDIQUE ET FISCALE,2020,1701
AMS,ASSISTANCE JURIDIQUE ET FISCALE,2019-2020,1702
AMSA ASSURANCE VIE,ASSISTANCE JURIDIQUE ET FISCALE,2020,1703
AREZKI,ASSISTANCE JURIDIQUE ET FISCALE,2020,1704
ATERSA,ASSISTANCE JURIDIQUE ET FISCALE,2020,1705
BAL OPERATIONS,ASSISTANCE JURIDIQUE ET FISCALE,2020,1706
BARRICK KOLISI PROJECT,ASSISTANCE JURIDIQUE ET FISCALE,2020,1707
BFCI BANK,ASSISTANCE JURIDIQUE ET FISCALE,2020,1708
BNDE,ASSISTANCE JURIDIQUE ET FISCALE,2020,1709
BULK MINING EXPLOSIVES MALI,ASSISTANCE JURIDIQUE ET FISCALE,2020,1710
CAPRICORN,ASSISTANCE JURIDIQUE ET FISCALE,2020,1711
CIS (CLUB DES INVESTISSEURS DU SENEGAL),ASSISTANCE JURIDIQUE ET FISCALE,2020,1712
CLUB MED,ASSISTANCE JURIDIQUE ET FISCALE,2020,1713
CORIS BANK,ASSISTANCE JURIDIQUE ET FISCALE,2020,1714
DAVID ALAIN PATRICK MARIE GRISLAIN,ASSISTANCE JURIDIQUE ET FISCALE,2020,1715
DELOITTE,ASSISTANCE JURIDIQUE ET FISCALE,2020,1716
HALLIBURTON SENEGAL SASU,ASSISTANCE JURIDIQUE ET FISCALE,2020,1718
CSS VDN HELP LOGISTIC,ASSISTANCE JURIDIQUE ET FISCALE,2020,1719
EURONA,ASSISTANCE JURIDIQUE ET FISCALE,2020,1720
GEMALTO,ASSISTANCE JURIDIQUE ET FISCALE,2020,1721
GOOGLE,ASSISTANCE JURIDIQUE ET FISCALE,2020,1722
GTA,ASSISTANCE JURIDIQUE ET FISCALE,2020,1723
HELP LOGISTIC,ASSISTANCE JURIDIQUE ET FISCALE,2020,1724
LASO,ASSISTANCE JURIDIQUE ET FISCALE,2020,1725
MAERSK,ASSISTANCE JURIDIQUE ET FISCALE,2020,1726
MAN DIESEL,ASSISTANCE JURIDIQUE ET FISCALE,2020,1727
MEDTRONIC,ASSISTANCE JURIDIQUE ET FISCALE,2020,1728
MERIDIAM,ASSISTANCE JURIDIQUE ET FISCALE,2019-2020,1729
MHIET,ASSISTANCE JURIDIQUE ET FISCALE,2020,1730
OTH,ASSISTANCE JURIDIQUE ET FISCALE,2020,1731
IMPACT OIL,ASSISTANCE JURIDIQUE ET FISCALE,2020,1690
HOTEL NEPTUNE,DPG DPJ DPF DPS 020-J&F,NA,988
AJS,DP,2013,989
ERICSSON SENEGAL,DPG DPF DPJ DPS 30-J&F,NA,990
CIC SENEGAL,DE,2008-2011,991
ERICSSON,IR 2010 ET 2011 1/1,2010-2011,992
CIC SENEGAL,DE,2003-2018,993
DANA PETROLEUM,DE,NA,994
SMC,ARRETES MINISTERIELS PROTOCOLES D'ACCORD APPUIS,2012-2013,995
THERMAX,CONTRATS DE TRAVAIL,2015,1006
THERMAX,CONTRATS DE TRAVAIL,2016-2017,996
CAPRICORN,STATEMENT OF ACCOUNT,2017,997
WILHELMSEN,REVUE DA,MAI 2019,998
MEDTRONIC, TAXES,NA,999
BICIM,DECLARATIONS 2018 IS TVA/TAF ECT CONTROLES FISCAUX,2018,1000
BICIM,DECLARATIONS IMPOTS MENSUELS TVA/TAF 2016-2017 BANQUE BICM MALI DECLARATIONS,2016-2017,1001
ALTOUNIAN CONTRE BAKOU,EXPERTISE JUDICIAIRE 028-J&F,2002-2018,1002
WEST AFRICA (WAE) / GB FOODS,DOSSIER ANNUEL,2018-2019,1003
WOODSIDE,ASSISTANCE JURIDIQUE ET FISCALE,2016-2017,1004
BICIM,DOCUMENTS COMPTABLES,2016-2018,1005
DEJA ENREGISTRE,ASSISTANCE JURIDIQUE ET FISCALE,NA,779
DEJA ENREGISTRE,ASSISTANCE JURIDIQUE ET FISCALE,1993-2003,4527
DEJA ENREGISTRE,ASSISTANCE JURIDIQUE ET FISCALE,2008-2012,871
DEJA ENREGISTRE,ASSISTANCE JURIDIQUE ET FISCALE,2008-2012,872
DEJA ENREGISTRE,ASSISTANCE JURIDIQUE ET FISCALE,2008-2012,873
DEJA ENREGISTRE,ASSISTANCE JURIDIQUE ET FISCALE,2008-2012,874
